28,7,4
1832,7,4
3418,7,3
3740,7,3
15582,7,2
16082,7,4
1744,79,3
3418,79,4
4761,79,4
6482,79,3
14712,79,3
15576,79,3
15582,79,5
16082,79,4
1744,199,3
14712,199,4
15582,199,4
16082,199,4
6482,481,3
10721,481,5
14712,481,3
15582,481,4
16082,481,5
907,769,3
1744,769,4
3253,769,2
6482,769,4
12538,769,3
15582,769,2
28,906,3
12292,906,4
13927,906,4
28,1310,3
1832,1310,3
3253,1310,5
3418,1310,2
6482,1310,3
14712,1310,2
14807,1310,4
15582,1310,4
16082,1310,4
28,1333,2
1744,1333,3
1832,1333,2
3253,1333,3
6482,1333,1
7186,1333,4
9087,1333,2
9256,1333,2
11688,1333,4
12292,1333,3
13604,1333,1
14712,1333,2
15449,1333,3
15582,1333,2
16082,1333,2
1744,1427,1
1832,1427,4
6482,1427,4
15582,1427,3
28,1442,4
305,1442,5
1744,1442,5
3253,1442,3
4761,1442,5
14712,1442,4
16082,1442,5
1744,1457,4
3944,1457,3
4761,1457,3
6482,1457,4
10721,1457,3
14712,1457,2
15582,1457,2
16082,1457,3
28,1500,1
1744,1500,4
3418,1500,4
15582,1500,4
16082,1500,5
28,1527,5
48,1527,5
1744,1527,3
6650,1527,3
10721,1527,2
14712,1527,2
16082,1527,3
1744,1918,3
6482,1918,3
10721,1918,2
14712,1918,2
15582,1918,2
16082,1918,3
28,2000,4
1744,2000,3
2344,2000,3
3253,2000,4
6482,2000,3
7186,2000,4
14137,2000,2
15582,2000,2
1744,2128,4
1832,2128,3
4761,2128,3
6482,2128,3
28,2213,5
305,2213,5
907,2213,3
1832,2213,3
3418,2213,3
4761,2213,4
8561,2213,3
13633,2213,3
14137,2213,3
14712,2213,4
15582,2213,4
16082,2213,3
1832,2225,3
4049,2225,5
14712,2225,2
15582,2225,3
16082,2225,5
28,2307,3
305,2307,3
1744,2307,4
3418,2307,3
6482,2307,3
1744,2455,4
3418,2455,4
4761,2455,3
6482,2455,2
11688,2455,4
14137,2455,2
14712,2455,4
15576,2455,3
15582,2455,4
16082,2455,3
305,2469,4
1744,2469,5
3253,2469,4
3418,2469,5
4049,2469,3
13927,2469,5
14712,2469,4
15582,2469,4
16082,2469,4
28,2678,2
1832,2678,3
14137,2678,2
14712,2678,4
907,2787,4
1744,2787,2
3418,2787,1
14712,2787,1
15582,2787,1
28,2905,5
305,2905,4
1744,2905,5
4761,2905,3
6482,2905,5
8781,2905,5
12538,2905,5
13055,2905,5
15582,2905,5
16082,2905,4
28,2976,4
1744,2976,4
1832,2976,3
3418,2976,4
3740,2976,3
4761,2976,3
6482,2976,4
10721,2976,3
11965,2976,3
14712,2976,3
15449,2976,3
15582,2976,4
16082,2976,5
1744,3039,4
4761,3039,4
6482,3039,3
12292,3039,2
14137,3039,3
28,3321,4
48,3321,4
305,3321,4
577,3321,4
907,3321,3
1061,3321,3
1744,3321,4
1832,3321,3
3740,3321,3
4049,3321,1
4761,3321,4
4981,3321,2
6482,3321,4
7186,3321,3
8561,3321,1
8781,3321,2
10721,3321,2
11158,3321,3
12422,3321,1
13633,3321,1
13927,3321,4
14137,3321,3
14712,3321,4
15449,3321,3
15576,3321,3
16082,3321,3
992,3363,2
1744,3363,2
1832,3363,5
3253,3363,5
3418,3363,4
3740,3363,4
4049,3363,5
7186,3363,5
11288,3363,2
11965,3363,4
12292,3363,5
14712,3363,4
15582,3363,3
907,3458,5
1744,3458,3
1832,3458,4
3253,3458,3
3740,3458,4
4761,3458,2
6482,3458,3
11688,3458,3
1744,3595,4
3253,3595,2
3740,3595,4
4761,3595,3
6482,3595,3
8561,3595,2
14712,3595,2
15582,3595,1
16082,3595,2
305,3604,3
3253,3604,3
3418,3604,3
14712,3604,4
15582,3604,3
15992,3604,5
16082,3604,4
907,3694,3
1832,3694,4
3253,3694,4
3740,3694,3
6482,3694,3
6666,3694,4
12292,3694,3
28,3718,4
3253,3718,3
3944,3718,3
5877,3718,3
15582,3718,2
1744,3798,2
1832,3798,3
3253,3798,4
4049,3798,4
6482,3798,3
6666,3798,3
1744,3870,4
